,URL,Page_Source,text
685,https://www.fbi.gov/contact-us/field-offices/pittsburgh/news/new-kensington-resident-sentenced-to-300-months-in-prison-for-child-exploitation-offenses,23,"An official website of the United States government PITTSBURGH, PA - A resident of New Kensington, Pennsylvania, has been sentenced in federal court to 300 months’ imprisonment followed by a lifetime term of supervised release for conspiracy to receive and distribute, as well as distribution and possession of material depicting the sexual exploitation of a minor, United States Attorney Eric G. Olshan announced today. United States District Court Judge William S. Stickman imposed the sentence on Robert Pacek, age 52. According to information presented to the court, Pacek, while on probation for a prior state conviction for possession of child sexual abuse material, was an active participant in a chat room on the Tor network dedicated to the discussion and exchange of child sexual abuse material. On February 28, 2021, Pacek distributed five images depicting the sexual exploitation of young girls, who appeared to be between the ages of 4 and 6 years old, in that chat room. Pacek later admitted to accessing the Tor network using his neighbor’s router and sharing links to this material. A subsequent search of Pacek’s cell phone revealed approximately 100 videos and 3,000 images depicting the sexual exploitation of minors, including more than 100 images depicting the abuse of toddlers or infants. Prior to imposing the sentence, Judge Stickman explained that there is no more important government interest than “the protection of the innocence, safety and integrity of our children.” Judge Stickman noted that Pacek played more than a “passive role” in distributing images, noting that Pacek made “callous” comments when posting these images, and regularly greeted new members to the chat room. Judge Stickman emphasized that the use of computers contributes to the widespread distribution of this material and that these offenses involve real minors. Referring to the content of the images Pacek possessed, Judge Stickman noted that there is “no crime more serious in our district than the violation of the innocence of toddlers.” Assistant United States Attorney Karen Gal-Or prosecuted this case on behalf of the government. United States Attorney Olshan commended the Federal Bureau of Investigation for the investigation leading to the successful prosecution of Pacek.
This case was brought as part of Project Safe Childhood, a nationwide initiative launched in May 2006 by the Department of Justice to combat the growing epidemic of child sexual exploitation and abuse. Led by the United States Attorneys’ Offices and the Criminal Division’s Child Exploitation and Obscenity Section, Project Safe Childhood marshals federal, state, and local resources to locate, apprehend, and prosecute individuals who sexually exploit children, and to identify and rescue victims. For more information about Project Safe Childhood, please visit www.justice.gov/psc. 700 Grant Street, Suite 4000
Pittsburgh, PA 15219 17 South Park Row, Room A330
Erie, PA 16501 319 Washington Street, Suite 200
Johnstown, PA 15901 Pittsburgh: 412-644-3500
Fax: 412-644-4549 Erie: 814-452-2906
Fax: 814-455-6951 Johnstown: 814-533-4547
Fax: 814-533-4545 Have a question about Government Services?"
2629,https://www.fbi.gov/contact-us/field-offices/tampa/news/tampa-man-sentenced-to-10-years-in-federal-prison-for-attempted-coercion-and-enticement-of-a-minor-to-engage-in-sexual-activity,32,
2624,https://www.fbi.gov/contact-us/field-offices/houston/news/another-guilty-of-trafficking-women-in-cantina-backroom,32,
500,https://www.fbi.gov/contact-us/field-offices/losangeles/news/texas-man-pleads-guilty-to-kidnapping-13-year-old-girl-at-gunpoint,22,"An official website of the United States government LOS ANGELES – A Texas man pleaded guilty today to kidnapping a 13-year-old girl at gunpoint last year in San Antonio, admitting that he drove her to California, threatened her with a firearm, and sexually assaulted her multiple times before his arrest in Long Beach. Steven Robert Sablan, 62, of Cleburne, Texas, pleaded guilty to one count of kidnapping. Sablan has been in federal custody since July 2023. According to his plea agreement, on July 6, 2023, in San Antonio, Sablan abducted the victim, held her, and transported her in his gray Nissan Sentra to Long Beach, California. The victim told Sablan she was 13 years old. During this ordeal, Sablan used a firearm to threaten and control the victim. Sablan confined the victim until she was rescued on July 9, 2023, in Long Beach after a Good Samaritan called 911 after seeing her holding a “Help Me” sign in the window of Sablan’s car. Sablan admitted in his plea agreement that during the Texas-to-California journey, he sexually assaulted the victim. At the time of the crime, Sablan had no legal custody or familial relationship to the victim. United States District Judge Fernando L. Aenlle-Rocha scheduled an October 25 sentencing hearing, at which time Sablan will face a mandatory minimum sentence of 20 years in federal prison and a statutory maximum sentence of life imprisonment. The FBI and the Long Beach Police Department investigated this matter. The Cleburne (Texas) Police Department provided assistance. Assistant United States Attorney Chelsea Norell of the Violent and Organized Crime Section is prosecuting this case. Ciaran McEvoy
Public Information Officer
ciaran.mcevoy@usdoj.gov
(213) 894-4465 A federal grand jury today returned a six-count indictment against four members of a far-left, anti-capitalist, and anti-government group that allegedly plotted to set off bombs in Southern California on... Sixteen members and associates of the San Gabriel Valley-based, Mexican Mafia-linked Puente-13 street gang were arrested today on federal criminal complaints alleging their involvement in one kidnapping, two shootings, illegal... Four members of an anti-capitalist and anti-government group that calls for violence against United States officials have been arrested for allegedly plotting to attack two U.S. companies with improvised explosive... Central District of California
312 N. Spring St. Suite 1200
Los Angeles, CA 90012 Phone: (213) 894-2400
Fax: (213) 894-0141 Have a question about Government Services?"
781,https://www.fbi.gov/contact-us/field-offices/jackson/news/alabama-man-sentenced-to-nine-years-in-prison-for-possession-of-child-pornography,24,"An official website of the United States government Gulfport, Miss. -- A Grand Bay, Alabama man was sentenced to 108 months in federal prison, followed by 20 years of supervised release, for possession of child pornography. According to court documents, Walton Stephen Vaughan, 67, was found to be in possession of hundreds of visual depictions of minors engaging in sexually explicit conduct when, on February 27, 2019, FBI agents and local law enforcement personnel executed a search warrant at his residence in Lucedale, Mississippi. Vaughan was indicted by a federal grand jury and pled guilty on February 23, 2023. In addition to his term of imprisonment, Vaughan was ordered to pay restitution to victims totaling $29,500, and a $3,000 assessment under the Amy, Vicky, and Andy Child Pornography Victim Assistance Act of 2018.  Vaughan was also ordered to register as a sex offender. U.S. Attorney Todd W. Gee of the Southern District of Mississippi, Special Agent in Charge Paul Brown of the FBI in Mobile, Alabama, and Special Agent in Charge Jermicha Fomby of the FBI in Mississippi made the announcement. The case was investigated by the FBI in Mobile, Alabama, with assistance from the FBI in Mississippi. Assistant U.S. Attorney Andrea Jones prosecuted the case. This case was brought as part of Project Safe Childhood, a nationwide initiative to combat the growing epidemic of child sexual exploitation and abuse launched in May 2006 by the Department of Justice. Led by U.S. Attorneys' Offices and the Criminal Division's Child Exploitation and Obscenity Section (CEOS), Project Safe Childhood marshals federal, state and local resources to better locate, apprehend and prosecute individuals who exploit children via the Internet as well as to identify and rescue victims. For more information about Project Safe Childhood, please visit www.projectsafechildhood.govLinks to other government and non-government sites will typically appear with the “external link” icon to indicate that you are leaving the Department of Justice website when you click the link. Gulfport, MS – A Pascagoula man was sentenced to 20 years in prison for distribution of images of minors engaging in sexually explicit conduct. Jackson, MS – A Jackson man entered a guilty plea to federal charges relating to a “sextortion” scheme that targeted multiple victims, including minors, across several states. Gulfport, Miss.  - A Gulfport man was sentenced to 87 months in federal prison followed by 20 years of supervised release for possession of over 80 videos of child pornography. 501 E. Court St.
Suite 4.430
Jackson, MS  39201 Jackson: (601) 965-4480
Gulfport: (228) 563-1560 Have a question about Government Services?"
2899,https://www.fbi.gov/contact-us/field-offices/saltlakecity/news/press-releases/wolf-point-woman-admits-role-in-kidnapping-and-assault-of-minor-girl-on-fort-peck-indian-reservation,34,
2510,https://www.fbi.gov/contact-us/field-offices/littlerock/news/repeat-sex-offender-sentenced-to-more-than-27-years-in-prison-for-attempted-enticement-of-a-minor,31,
921,https://www.fbi.gov/contact-us/field-offices/boston/news/canton-man-convicted-of-sex-trafficking-a-minor,26,"An official website of the United States government BOSTON – A Canton man was convicted today by a federal jury in Boston of sex trafficking a minor who had been reported missing. Keion Rowell, 24, was convicted following a four-day jury trial of one count of sex trafficking of a child. U.S. District Court Judge Leo T. Sorokin scheduled sentencing for Dec. 11, 2023. Rowell was arrested and charged by criminal complaint in April 2022 and subsequently indicted by a federal grand jury in May 2022. “Justice was delivered today. Mr. Rowell preyed on a vulnerable 15-year-old girl, grooming her and then trafficking her and pocketing the money. This conduct is despicable and has no place in a civilized society. This prosecution should send an unmistakable message that this office and our law enforcement partners are dedicating all the resources needed to make sure predators like Mr. Rowell will face the full weight of the law,” said Acting United States Attorney Joshua S. Levy. “Sex trafficking causes immeasurable physical and long-term emotional suffering, and this office will continue to work tirelessly to seek justice for the brave survivors.” “Keion Rowell forced a 15-year-old child into sexual servitude, for his own greed and financial gain,” said Jodi Cohen, Special Agent in Charge of the Federal Bureau of Investigation, Boston Division. “While FBI Boston’s Child Exploitation – Human Trafficking Task Force can’t erase the harm he’s done, we’ve made him answer for it. We thank the jury for bringing justice for his victim and ensuring Mr. Rowell can’t claim anymore.” According to evidence presented at trial, on or about Jan. 18, 2021, Rowell met the 15-year-old victim, who had recently run away from home. Almost immediately, Rowell created and posted numerous online commercial sex advertisements that contained photos of the victim, including nude photos, and told her that she would have to engage in prostitution. Rowell then communicated with sex buyers and sent the victim to meet with those men to have sex in exchange for money he kept. On Jan. 28, 2021, approximately 10 days after the victim had been reported missing, law enforcement participated in an undercover operation to rescue her. When she was recovered, the victim had Rowell’s phone which contained photos of the victim, photos of Rowell and information about his personal bank accounts, links to online advertisements for commercial sex and communications with sex buyers. If you or someone you know may be impacted or experiencing commercial sex trafficking, please contact USAMA.VictimAssistance@usdoj.gov. The charge of sex trafficking of a child carries a mandatory minimum sentence of 10 years in prison, with a maximum sentence of up to life in prison, five years of supervised release and a fine of $250,000. Sentences are imposed by a federal district court judge based upon the U.S. Sentencing Guidelines and statutes which govern the determination of a sentence in a criminal case. Acting U.S. Attorney Levy and FBI SAC Cohen made the announcement today. Valuable assistance was provided by the Suffolk County District Attorney's Office; the Boston and Belmont Police Departments; and the Massachusetts Bay Transit Authority Police. Assistant U.S. Attorney Brian A. Fogerty of the Civil Rights & Human Trafficking Unit and Special Assistant U.S. Attorney Alyssa Tochka are prosecuting the case. BOSTON – A Boston man has been indicted by a federal grand jury for allegedly sex trafficking three victims, including a minor, between New Hampshire and Massachusetts. BOSTON – A Fall River woman was sentenced yesterday in federal court in Boston for her role in a sex trafficking conspiracy. BOSTON – A Filipino national living in Baltimore, Md., pleaded guilty yesterday in federal court in Boston to sexually exploiting and conspiring to sex traffic minor children. District of Massachusetts
Boston Office:
1 Courthouse Way, Suite 9200
Boston, MA 02210 Boston: 617-748-3100
Springfield: 413-785-0235
Worcester: 508-368-0100 Have a question about Government Services?"
179,https://www.fbi.gov/contact-us/field-offices/oklahomacity/news/former-teacher-sentenced-for-sexual-abuse-and-enticement-of-minors,18,"An official website of the United States government TULSA, Okla. – A former South Coffeyville middle school teacher was sentenced today for two counts of Sexual Abuse of a Minor in Indian Country and Coercion and Enticement of a Minor in Indian Country, announced U.S. Attorney Clint Johnson. U.S. District Judge Sara E. Hill sentenced Harold Steven Moore, 41, of Kansas City, to 180 months imprisonment, followed by 12 years of supervised release. Upon his release, Moore will also be required to register as a sex offender. “Children trust their teachers and Harold Moore betrayed that trust,” said U.S. Attorney Clint Johnson. “No child should ever have to question the motives of an adult they interact with at school. I commend the courageous victims that came forward.” According to court documents, Moore was a teacher and coach at a South Coffeyville middle school. He had sexual relationships with two separate minor children beginning in 2006 and continuing through 2007. Both minor children were under the age of 16 years old and students at the middle school. Moore further admitted to enticing a third minor to engage in sexual activities while he was her coach. Moore made inappropriate comments of a sexual nature and engaged in improper touching. Moore is a citizen of the Cherokee Nation and he will remain in custody pending transfer to the U.S. Bureau of Prisons. The FBI, Cherokee Nation Marshal Service, and Montgomery County Sheriff's Office in Kansas investigated the case. Assistant U.S. Attorney Scott Dunn prosecuted the case. This case was brought as part of Project Safe Childhood (PSC), a nationwide initiative to combat the growing epidemic of child sexual exploitation and abuse launched in May 2006 by the Department of Justice. U.S. Attorneys' Offices and the Criminal Division's Child Exploitation and Obscenity Section leads PSC, which marshals federal, state, and local resources to locate, apprehend, and prosecute individuals who sexually exploit children and identifies and rescues victims. For more information about PSC, please visit DOJ’s PSC page. For more information about internet safety education, please visit the resources tab on that page. Public Affairs
918-382-2755 A Tulsa man was sentenced today for two counts related to possessing, receiving, and sharing child sexual abuse material, announced U.S. Attorney Clint Johnson. A man living in Ochelata was sentenced today for Failing to Register as a Sex Offender, announced U.S. Attorney Clint Johnson. A Salina man was sentenced today for Possession of Child Pornography and being a Felon in Possession of Ammunition, announced U.S. Attorney Clint Johnson. Northern District of Oklahoma
110 W. 7th Street
Suite 300
Tulsa, OK 74119 Phone: (918) 382-2700
Fax: (918) 560-7938 Have a question about Government Services?"
367,https://www.fbi.gov/contact-us/field-offices/springfield/news/effingham-man-sentenced-to-federal-prison-for-attempted-sex-crimes-against-a-minor,20,"An official website of the United States government BENTON, Ill. –  A district judge sentenced an Effingham man to spend 10 years in federal prison after he admitted to soliciting sex online from a purported minor in exchange for money. John S. Harmon, 65, pleaded guilty to attempted commercial sex trafficking of a minor and solicitation of child pornography. “Thanks to the FBI’s proactive efforts in an undercover online investigation, another child predator was sentenced to spend a decade behind bars,” said U.S. Attorney Rachelle Aud Crowe. “We will continue to work together to apprehend these manipulative and dangerous offenders.” The charges stemmed from an undercover investigation by an FBI agent who claimed to be a 15-year-old minor in an online discussion forum. According to court documents, Harmon began speaking to the undercover agent posing as a purported minor from May through June 2021. During conversations, he solicited the 15-year-old purported minor and an 11-year-old purported minor for sex in exchange for money. In addition, Harmon solicited nude images of both the purported minors. “Our proactive efforts to protect children resulted in another offender being stripped of his ability to harm a member of our most vulnerable population,” said FBI Springfield Special Agent in Charge David Nanz. “This sentence underscores the FBI’s unwavering dedication to investigate and arrest those who seek to harm our children.” FBI Springfield Field Office led the investigation, and Assistant U.S. Attorneys Casey Bloodworth and David Sanders prosecuted the case on behalf of the Government. This case was brought as part of Project Safe Childhood, a nationwide initiative to combat the growing epidemic of child sexual exploitation and abuse, launched in May 2006 by the Department of Justice. Led by U.S. Attorneys’ Offices and CEOS, Project Safe Childhood marshals federal, state, and local resources to better locate, apprehend and prosecute individuals who exploit children via the internet, as well as to identify and rescue victims. Fairview Heights:
9 Executive Drive
Fairview Heights, IL 62208 Benton:
402 West Main Street, Suite 2A
Benton, IL 62812 East St. Louis:
750 Missouri Avenue, 3rd Floor
East St. Louis, IL 62201 Fairview Heights:
Phone: (618) 628-3700
TTY: (618) 628-3826
Fax: (618) 628-3730 Benton:
Phone: (618) 439-3808
TTY: (618) 435-4037
Fax: (618) 439-2401 East St. Louis:
Phone: (618) 482-9361
Fax: (618) 482-9302 Have a question about Government Services?"
